id,number_of_reviews,review_scores_rating
71609,19,4.44
71896,24,4.16
71903,46,4.41
275343,20,4.4
275344,16,4.27
294281,131,4.43
324945,17,3.5
330095,5,3.8
344803,60,4.6
369141,81,4.43
369145,163,4.39
395191,27,4.31
468782,83,4.7
606784,75,4.81
696136,26,4.5
747813,68,4.63
747816,25,4.56
756267,70,4.73
765579,2,4.0
815685,16,4.13
819034,40,4.78
819044,70,4.54
833289,2,5.0
863139,2,5.0
881253,3,4.0
904378,34,4.71
962594,2,5.0
982909,247,4.87
1024986,258,4.84
1160252,43,4.63
1242205,8,4.75
1261443,2,5.0
1363204,3,4.0
1495386,10,4.7
1508829,7,4.14
1615074,5,4.4
1654840,2,4.0
1719704,3,4.0
1902729,3,4.67
1902793,2,5.0
1928296,79,4.57
1941719,73,4.51
2009008,5,4.8
2129215,369,4.93
2142826,21,4.67
2156372,17,4.76
2320536,4,4.75
2547778,1,4.0
2922184,18,4.28
3034137,9,4.89
3304326,8,4.75
3667894,2,4.0
3802621,20,4.7
3803160,6,4.0
3980202,28,4.43
3981252,2,5.0
3990431,10,4.3
4054698,49,4.4
4069756,20,4.35
4271250,170,4.94
4441346,4,5.0
4486217,9,4.22
4499317,284,4.82
4526703,5,5.0
4541183,343,4.78
4619928,3,4.33
4712676,4,5.0
4741630,1,5.0
4863317,1,5.0
4869221,2,5.0
4926170,3,3.67
4973227,181,4.71
4989903,6,4.5
5040689,5,4.8
5052014,14,4.64
5116961,1,5.0
5129422,58,4.95
5186159,72,4.86
5233415,29,4.79
5253599,11,4.73
5339318,2,5.0
5446857,7,4.71
5448209,16,4.81
5464246,11,4.91
5494971,208,4.8
5551665,15,4.67
5573458,3,5.0
5634851,2,5.0
5798211,151,4.86
5827713,285,4.82
5827998,296,4.84
5889741,212,4.81
5919270,248,4.83
6020248,7,4.29
6261313,10,4.9
6287204,10,4.8
6300577,25,4.76
6317686,1,5.0
6352827,128,4.57
6453321,2,5.0
6529707,41,4.93
6547248,1,5.0
6603464,9,4.44
6620261,3,5.0
6630341,99,4.9
6693516,9,4.78
6716844,2,4.0
6718219,59,4.92
6718514,74,4.88
6831622,23,4.65
6959415,11,4.64
7156419,16,4.81
7162659,8,4.5
7250709,5,4.6
7250803,27,4.78
7296138,26,4.96
7321238,34,4.94
7398096,22,4.23
7641522,3,4.33
7653937,1,5.0
7666349,7,4.43
7667016,2,4.5
7720994,2,5.0
7905972,4,4.25
7927886,31,4.77
7946472,1,5.0
7994039,2,4.5
8004063,8,4.25
8007663,3,4.33
8017511,33,4.39
8038199,241,4.68
8111502,8,4.38
8111607,1,5.0
8113569,6,4.5
8113712,7,5.0
8113821,6,4.83
8113893,9,4.89
8113936,8,4.5
8114003,15,4.53
8160733,3,4.0
8180346,203,4.83
8256942,6,4.0
8508225,33,4.85
8705956,10,4.2
8721639,20,4.75
8800763,214,4.84
8890247,45,4.51
9016784,8,3.88
9032240,1,3.0
9216943,25,4.76
9268058,34,4.44
9268500,8,4.0
9268680,15,4.6
9269260,9,4.67
9269637,1,4.0
9269848,4,4.5
9269981,7,4.71
9281075,30,4.87
9320962,95,4.75
9351647,8,4.38
9532788,206,4.7
9635192,187,4.64
9746208,157,4.77
9828451,10,4.9
9857050,2,5.0
9887900,13,4.77
9932692,12,4.17
9986864,2,4.0
10427701,2,4.5
10718463,36,4.89
11465411,39,4.56
11496278,4,4.75
11544732,3,4.67
11581560,9,4.89
11660178,6,4.83
11679463,8,4.5
11760026,2,5.0
11980197,71,4.87
11993987,14,3.93
12028422,7,4.0
12162272,256,4.85
12213801,1,5.0
12219588,65,4.66
12317780,1,5.0
12367245,73,4.38
12367388,156,4.34
12434512,5,4.8
12484261,274,4.84
12556334,2,5.0
12702541,26,4.69
12738797,5,4.8
12738896,6,4.0
12801097,2,3.0
12904788,2,5.0
13183241,3,5.0
13254555,7,4.43
13274269,16,4.44
13274598,17,4.41
13283938,65,4.75
13286282,51,4.84
13317120,9,4.67
13396802,17,4.76
13454638,7,4.29
13468399,6,4.5
13556435,33,4.73
13559548,7,4.71
13642646,19,4.68
13703898,58,4.67
13809823,20,4.9
13952292,5,4.8
13965663,12,4.42
13966783,2,5.0
13967083,2,3.5
13967760,1,4.0
14020127,17,4.12
14029416,1,5.0
14094341,1,5.0
14099732,2,5.0
14211027,43,4.84
14226426,2,5.0
14226658,1,5.0
14289091,4,4.5
14293554,4,3.75
14341511,9,4.89
14407337,1,5.0
14435012,5,4.4
14530157,9,5.0
14558461,1,5.0
14577360,2,5.0
14582945,1,4.0
14583967,4,4.5
14701395,2,4.5
14901562,1,5.0
14902239,1,5.0
14926743,2,5.0
14953906,2,4.0
15100514,2,4.5
15274648,11,4.73
15310627,68,4.91
15316856,49,4.96
15364942,8,4.75
15367409,4,4.25
15389076,22,4.86
15406706,1,5.0
15441196,6,4.83
15454153,20,4.7
15487894,2,4.5
15508557,5,4.6
15538540,1,5.0
15589669,4,3.5
15687109,6,5.0
15773382,2,4.5
15775439,2,5.0
15792137,169,4.79
15792808,253,4.81
15813099,1,4.0
15919162,1,4.0
15933531,1,4.0
15965563,1,5.0
15991345,28,4.79
16006904,12,4.83
16007139,12,4.5
16044788,14,4.36
16057988,35,4.8
16110969,9,4.0
16118606,15,4.93
16149105,1,5.0
16149684,1,5.0
16150227,4,4.75
16150642,4,5.0
16209070,1,3.0
16213115,20,4.15
16213146,1,5.0
16220808,1,5.0
16260783,5,4.8
16309636,68,4.84
16370834,37,4.95
16424205,9,5.0
16462052,17,4.76
16477283,19,4.84
16502098,140,4.55
16519375,19,4.63
16552273,1,5.0
16606463,41,4.83
16621264,13,4.46
16650721,1,4.0
16742820,12,4.75
16743909,19,4.53
16744167,19,4.53
16745292,17,4.12
16750061,18,4.67
16798945,1,5.0
16846533,26,4.36
16848828,12,4.42
16881298,1,4.0
16891958,233,4.74
16966634,30,4.77
17053896,5,4.0
17179470,16,4.75
17191773,17,4.88
17442010,1,2.0
17488373,1,5.0
17519803,1,5.0
17601150,24,4.71
17615250,1,5.0
17626886,4,4.75
17641382,44,4.77
17736530,30,4.93
17740089,7,4.0
17766467,2,4.5
17927897,57,4.89
17928170,180,4.81
17928273,73,4.74
17929045,4,4.75
17929053,8,4.0
17929054,3,4.33
17929055,11,4.73
17949590,47,4.6
17951810,12,4.5
18000521,4,4.0
18052476,50,4.7
18109887,15,4.33
18151459,5,5.0
18166182,4,4.25
18169687,6,4.5
18184250,118,4.39
18199481,40,4.68
18202395,69,4.78
18235755,134,4.75
18253219,3,5.0
18388608,45,4.96
18421322,1,5.0
18434466,68,4.49
18452100,2,5.0
18508828,39,4.82
18513959,1,5.0
18674998,8,4.38
18675202,22,4.45
18858584,12,4.58
18899288,6,4.0
18905203,37,5.0
19107598,82,4.74
19218794,31,4.84
19231371,2,4.0
19595322,12,4.83
19595827,29,4.79
19648215,6,3.67
19652882,2,3.5
19731540,7,4.29
19774490,2,5.0
19801431,1,5.0
19831199,91,4.74
19895150,4,4.0
20003123,1,3.0
20016031,3,5.0
20084815,35,4.97
20096441,14,4.86
20182075,7,4.86
20395120,3,5.0
20468114,1,4.0
20512779,38,4.97
20625726,1,5.0
20625773,1,5.0
20698050,122,4.43
20774607,1,5.0
20778113,1,5.0
20791161,5,5.0
20806898,7,4.57
20824274,3,5.0
20877332,1,4.0
20888336,100,4.79
21013726,4,4.25
21015410,1,4.0
21015873,11,5.0
21015874,14,4.86
21015876,26,4.96
21015880,31,4.97
21015881,10,4.9
21015977,16,4.88
21037930,1,4.0
21044947,1,5.0
21154124,1,5.0
21227203,36,4.64
21283595,9,4.22
21402272,3,4.33
21415749,239,4.62
21416331,57,4.63
21416445,16,4.25
21419965,2,5.0
21420790,31,4.74
21428446,174,4.47
21462227,1,5.0
21552874,1,5.0
21605333,122,4.49
21650745,1,5.0
21670282,32,4.78
21703476,1,4.0
21722898,2,5.0
21755679,5,4.8
21758153,133,4.89
21772057,2,4.0
21793363,1,5.0
21803237,1,5.0
21854678,150,4.81
21854687,279,4.82
21854697,31,4.71
21887155,90,4.76
21913744,1,5.0
21915252,64,4.91
21916263,3,4.67
21927257,1,5.0
21970302,1,4.0
22019165,1,5.0
22021287,10,4.8
22051870,159,4.67
22051992,1,5.0
22090557,1,5.0
22177543,1,1.0
22193170,19,4.79
22214451,1,5.0
22230934,1,4.0
22233862,62,4.81
22267147,2,3.5
22345943,2,5.0
22376153,2,4.5
22395492,2,4.0
22561172,6,4.67
22577896,9,4.56
22588306,3,4.33
22590845,2,4.0
22594189,12,4.58
22733377,4,4.5
22745179,145,4.93
22798533,21,4.86
22874441,3,4.67
22890318,7,4.71
22912035,8,4.75
22912163,6,5.0
22971370,2,5.0
22979766,32,4.97
22990388,9,4.67
22990457,11,4.64
23015765,7,4.43
23045739,11,4.64
23048720,1,4.0
23063409,3,5.0
23070167,6,4.83
23094299,14,4.57
23097015,5,4.6
23112197,1,5.0
23264528,3,5.0
23279111,12,4.5
23315012,41,4.76
23348921,2,5.0
23360633,2,4.5
23361035,4,4.5
23362544,10,4.8
23380199,3,4.0
23598682,28,4.93
23733935,8,5.0
23775041,1,5.0
23861900,4,4.5
23862116,2,5.0
24125960,22,4.5
24161078,4,5.0
24170288,3,4.33
24420175,7,4.29
24447655,4,4.0
24528929,76,4.5
24546514,83,4.46
24571017,89,4.47
24586538,88,4.59
24606096,6,4.83
24618190,2,4.5
24635669,1,3.0
24636266,2,3.5
24636530,1,5.0
24659042,181,4.72
24664051,134,4.63
24682695,3,4.33
24707713,129,4.6
24720145,69,4.39
24725185,2,5.0
24741587,6,4.0
24761439,22,4.14
24763374,5,4.4
24763494,3,4.33
24763572,2,4.0
24765067,2,4.5
24785006,1,3.0
24785613,1,5.0
24855606,10,4.4
24919927,5,4.2
24972169,1,5.0
24979153,113,4.62
24984672,110,4.69
25087117,2,5.0
25183317,1,4.0
25183623,6,4.83
25184205,3,4.67
25282863,102,4.76
25300648,3,4.0
25324517,3,4.33
25353206,1,5.0
25366424,84,4.88
25402824,4,4.25
25424295,5,4.4
25435388,56,5.0
25711980,1,4.0
25797887,1,4.0
25815030,16,4.75
25860399,1,5.0
25877353,4,4.0
25909373,2,4.0
25926356,1,5.0
25953564,1,1.0
25963531,2,4.0
25985995,2,5.0
26018504,2,3.5
26183286,1,4.0
26290123,1,5.0
26290281,2,5.0
26293068,2,5.0
26369349,61,4.89
26382243,1,3.0
26435923,34,4.71
26583889,10,4.9
26722862,2,3.5
27125463,1,5.0
27173843,1,5.0
27513236,6,5.0
27513625,5,5.0
27581596,2,5.0
27603657,1,5.0
27816487,1,5.0
27858471,1,5.0
27882577,1,5.0
28000993,1,5.0
28115820,1,4.0
28198324,2,4.0
28264364,27,4.67
28522862,1,4.0
28536238,27,4.56
28649449,1,4.0
28700151,1,5.0
28724933,1,5.0
28772425,2,5.0
28788262,1,4.0
28794509,22,4.18
28998042,7,4.43
28998072,14,4.36
28998095,7,4.43
28998145,3,3.67
28998161,59,4.41
28998181,7,4.29
28998191,7,4.86
29015768,64,4.59
29020376,29,4.79
29076794,5,4.8
29302695,42,4.98
29319213,6,4.0
29319686,2,4.0
29320487,2,4.0
29325647,1,4.0
29355663,2,4.0
29525240,2,4.5
29525299,7,4.43
29525951,31,4.61
29526045,34,4.24
29547507,2,4.0
29548114,1,5.0
29548473,2,5.0
29552115,84,4.92
29552643,120,4.83
29554536,16,4.75
29579499,233,4.83
29580481,37,4.92
29581373,75,4.84
29768671,1,4.0
29977663,1,5.0
29996505,1,5.0
30044864,2,4.0
30046453,1,5.0
30058572,1,5.0
30234271,1,5.0
30385249,9,4.22
30385261,3,4.33
30385269,1,4.0
30385291,2,3.0
30385453,10,4.6
30410480,1,5.0
30413459,2,5.0
30434753,1,3.0
30453430,1,5.0
30494592,2,5.0
30543386,1,5.0
30570119,1,5.0
30687199,110,4.93
30778537,1,4.0
30783602,2,5.0
30878734,2,5.0
30966211,2,5.0
31002918,4,4.5
31003554,165,4.86
31081282,1,5.0
31129905,1,5.0
31155160,1,4.0
31196834,13,4.69
31201327,62,4.77
31218304,29,5.0
31219674,13,4.92
31357872,1,5.0
31424549,7,4.57
31424940,12,4.75
31457968,19,4.84
31573008,25,4.8
31634142,31,4.81
31664598,7,4.71
31812483,20,4.95
31959810,6,5.0
31960343,11,4.73
31960810,7,4.57
31965730,13,4.92
32027361,1,5.0
32031648,8,4.88
32171204,2,5.0
32205289,31,4.45
32296304,8,5.0
32303894,1,5.0
32309635,1,5.0
32351804,1,4.0
32394595,4,4.75
32488562,4,4.75
32526213,22,4.55
32576311,1,1.0
32621960,2,4.5
32623479,12,4.92
32723994,1,5.0
32729464,1,5.0
32729775,1,5.0
32732351,1,5.0
32748783,2,3.5
32777995,1,5.0
32818879,2,4.0
32821771,2,4.5
32822945,1,5.0
32832467,1,5.0
32846195,6,4.83
32874731,1,5.0
32906878,4,5.0
32949187,1,5.0
32949544,1,5.0
33050985,6,5.0
33076582,2,5.0
33085362,1,3.0
33098686,4,5.0
33216747,2,5.0
33330793,1,3.0
33394388,10,4.2
33436577,23,4.7
33457052,1,5.0
33460906,8,4.88
33490643,11,4.91
33536365,33,4.76
33622349,3,4.33
33634552,68,4.68
33669171,70,4.84
33722089,2,3.5
33734018,4,5.0
33748928,27,4.7
33792104,1,5.0
33885738,1,4.0
33982757,64,4.44
33999107,5,4.4
34052336,2,4.0
34071208,72,4.51
34071596,51,4.29
34071837,66,4.38
34072244,52,4.48
34073545,20,4.25
34076777,2,5.0
34082010,2,4.0
34186257,14,4.64
34288316,1,3.0
34346401,1,4.0
34454047,12,4.92
34489654,19,4.84
34526007,46,4.78
34569244,2,5.0
34569884,8,4.5
34579286,46,4.85
34627895,1,5.0
34654117,1,4.0
34819352,28,4.86
34909012,1,5.0
34950613,1,5.0
34964444,1,5.0
35026116,1,5.0
35077531,7,4.29
35077950,3,4.33
35082329,16,4.31
35102472,52,4.85
35181133,1,1.0
35185755,1,5.0
35185822,2,4.5
35300552,1,5.0
35300977,4,4.25
35302676,7,4.43
35335972,1,5.0
35336070,2,4.0
35359778,14,4.57
35363901,1,5.0
35397761,1,5.0
35469684,3,5.0
35483332,3,4.67
35483354,3,4.67
35723337,6,4.33
35747289,4,4.5
35818107,15,4.33
35883311,6,4.17
35883439,6,4.17
35885309,16,4.38
35991648,27,4.89
36008984,1,5.0
36009935,2,5.0
36013750,1,5.0
36080117,2,4.5
36122224,1,5.0
36129690,3,5.0
36156663,1,5.0
36216542,33,4.58
36226718,6,5.0
36252767,1,5.0
36264042,38,4.58
36285087,25,4.76
36285346,1,5.0
36354920,2,5.0
36530311,1,3.0
36570785,10,5.0
36581961,15,4.93
36618900,6,4.0
36760495,28,4.96
36808814,17,5.0
36852543,1,5.0
36989732,4,5.0
37111118,6,4.5
37141391,1,4.0
37219959,1,2.0
37219965,1,3.0
37219971,2,5.0
37334803,2,5.0
37419221,4,4.0
37484436,69,4.38
37587133,1,5.0
37605217,1,5.0
37905248,1,5.0
37916346,130,4.54
37947662,1,5.0
37981411,1,4.0
37984003,3,5.0
37984524,2,4.5
37999599,220,4.7
38005247,1,5.0
38026889,27,4.81
38035489,1,5.0
38134989,335,4.68
38136195,5,4.8
38305984,1,5.0
38307308,1,5.0
38308020,14,4.29
38388737,29,4.72
38399837,4,4.0
38417543,26,4.81
38530815,1,3.0
38639800,1,5.0
38910295,1,3.0
38914093,34,4.5
38916143,161,4.49
38935611,3,5.0
38939902,66,4.23
38951604,3,5.0
38965851,6,4.67
38986386,10,4.5
38986709,25,4.44
38987390,15,4.0
39014250,23,4.48
39014610,33,4.7
39115031,1,5.0
39119402,2,4.5
39158146,4,4.5
39212874,4,4.25
39293936,8,5.0
39325093,1,5.0
39338786,58,4.52
39380253,1,5.0
39401038,1,5.0
39451138,4,5.0
39451764,1,5.0
39488084,2,4.0
39589304,88,4.75
39603119,3,4.33
39612598,1,5.0
39638066,4,4.5
39654440,14,5.0
39657837,3,5.0
39679521,2,5.0
39689162,8,5.0
39732502,1,5.0
39822559,1,5.0
39824181,4,5.0
40048607,4,5.0
40072058,9,4.44
40198092,16,5.0
40211954,1,5.0
40213569,4,4.75
40315763,1,5.0
40361907,9,4.22
40456301,29,4.59
40516462,1,5.0
40641448,6,4.5
40642051,1,4.0
40642810,3,3.67
40663631,3,5.0
40681844,3,4.67
40690201,12,4.92
40708485,10,4.3
40712903,3,4.67
40736423,5,4.6
40736566,2,5.0
40765359,5,4.2
40769351,3,5.0
40809878,2,4.0
40816592,3,4.33
40833390,3,4.67
40855337,16,4.63
40875632,4,5.0
40881888,25,4.68
40904017,20,4.85
40909907,30,4.87
40933623,3,4.67
40941821,12,4.92
40966161,3,5.0
40974119,1,5.0
40974363,3,3.67
40974569,2,5.0
40975409,3,3.33
40975603,16,4.38
40975736,8,4.63
41014661,18,3.94
41014693,2,4.0
41032597,10,5.0
41032819,30,4.83
41032965,1,5.0
41033189,12,4.83
41069184,1,5.0
41070234,9,4.67
41089548,1,5.0
41090834,2,5.0
41090879,4,4.0
41091240,6,4.17
41091895,3,4.0
41116137,7,3.29
41116342,21,4.48
41117291,12,4.67
41125664,1,5.0
41158163,3,4.67
